"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "CSS", "TypeScript", "XML", "Less", "HTML", "comment", "blank", "total"
"c:\Users\Administrador\Desktop\WowGoldLog\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14, 28
"c:\Users\Administrador\Desktop\WowGoldLog\angular.json", "JSON", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 112
"c:\Users\Administrador\Desktop\WowGoldLog\karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 2, 45
"c:\Users\Administrador\Desktop\WowGoldLog\package-lock.json", "JSON", 23518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23519
"c:\Users\Administrador\Desktop\WowGoldLog\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 9, 48
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 5, 87
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 46, 1, 4, 51
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 6, 15, 88
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 19
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 10, 62
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 7, 54
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 67, 6, 13, 86
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 10, 68
